"nu","bowlingDeliveries","bowlingDots","bowlingFours","bowlingRuns","bowlingSingles","bowlingSixes","dotBalls","fours","playerId","runs","singles","sixes","strikeRate","wickets"
"408","0","0","0","0","0","0","1","0","16","0","0","0","0","0"
"409","19","6","2","20","10","0","2","1","19","5","1","0","1.25","0"
"410","14","6","1","21","4","1","6","1","2","8","4","0","0.7272727272727273","0"
"411","18","9","2","25","5","2","7","2","66","32","9","1","1.4545454545454546","0"
"412","0","0","0","0","0","0","15","4","62","57","15","4","1.4615384615384615","0"
"413","0","0","0","0","0","0","20","4","144","50","19","1","1.0638297872340425","0"
"414","0","0","0","0","0","0","8","2","64","19","5","1","1.1875","0"
"415","0","0","0","0","0","0","2","2","125","10","2","0","1.6666666666666667","0"
"416","0","0","0","0","0","0","5","4","29","29","7","0","1.5263157894736843","0"
"417","0","0","0","0","0","0","3","0","124","1","1","0","0.25","0"
"418","0","0","0","0","0","0","18","6","34","70","22","3","1.3461538461538463","0"
"419","0","0","0","0","0","0","12","2","28","64","21","4","1.4545454545454546","0"
"420","24","10","1","25","10","1","0","0","113","7","5","0","1.1666666666666667","1"
"421","0","0","0","0","0","0","12","3","119","59","18","4","1.5128205128205128","0"
"422","26","6","3","38","12","1","2","1","26","14","2","1","2","0"
"423","0","0","0","0","0","0","6","0","30","1","1","0","0.14285714285714285","0"
"424","0","0","0","0","0","0","6","0","99","21","11","0","0.9545454545454546","0"
"425","6","1","1","8","4","0","3","0","40","2","2","0","0.4","0"
"426","27","9","1","33","13","2","4","3","27","40","6","3","2.2222222222222223","0"
"427","0","0","0","0","0","0","3","0","87","8","2","1","1.3333333333333333","0"
"428","19","5","2","36","8","3","8","1","31","18","4","1","1.125","1"
"429","26","9","3","36","9","1","1","0","100","0","0","0","0","1"
"430","0","0","0","0","0","0","1","0","145","0","0","0","0","0"
"431","0","0","0","0","0","0","3","1","122","4","0","0","1","0"
"432","24","10","0","26","10","2","24","11","1","93","17","5","1.603448275862069","2"
"433","0","0","0","0","0","0","10","3","139","26","10","0","1.04","0"
"434","0","0","0","0","0","0","4","4","9","58","12","3","2","0"
"435","0","0","0","0","0","0","1","1","140","9","1","0","1.8","0"
"436","13","5","2","16","4","0","0","2","20","14","0","1","4.666666666666667","1"
"437","0","0","0","0","0","0","8","5","74","25","3","0","1.4705882352941178","0"
"438","0","0","0","0","0","0","5","1","117","6","2","0","0.75","0"
"439","0","0","0","0","0","0","3","2","130","10","2","0","1.4285714285714286","0"
